student_id,study,university,semester,cohort_code,gender,first_generation,underrepresented,avg_sleep_minutes,avg_sleep_hours,daytime_sleep_minutes,sleep_midpoint_minutes,bedtime_variability,nights_tracked_fraction,prior_gpa,term_gpa,gpa_change,term_units,term_load_z,under_6h_sleep,sleep_bracket,sleep_midpoint_clock
293,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,370.0,6.17,11.7,500.3,0.05,0.931,4.0,3.76,-0.24,49.0,0.112,0,6-6.5h,07:20
294,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,406.8,6.78,49.7,359.5,0.0476,0.862,4.0,3.55,-0.45,49.0,0.112,0,6.5-7h,05:00
297,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,1.0,253.8,4.23,178.5,398.2,0.1639,0.586,3.0,3.59,0.59,46.0,-0.604,1,<5.5h,05:38
303,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,411.9,6.86,26.1,532.1,0.7854,0.931,3.8,3.46,-0.34,39.0,-2.275,0,6.5-7h,07:52
304,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,1.0,408.1,6.8,71.6,354.0,0.1538,0.931,3.17,3.5,0.33,39.0,-2.275,0,6.5-7h,04:54
305,1,Carnegie Mellon University,Spring 2018,lac2,Male,1.0,1.0,346.8,5.78,78.1,541.3,1.0689,0.724,2.37,2.54,0.17,49.0,0.112,1,5.5-6h,08:01
306,1,Carnegie Mellon University,Spring 2018,lac2,Male,0.0,0.0,340.0,5.67,42.5,492.5,0.6244,0.759,3.4,3.5,0.1,45.0,-0.843,1,5.5-6h,07:12
308,1,Carnegie Mellon University,Spring 2018,lac2,Male,0.0,1.0,414.3,6.91,38.0,467.3,0.4093,0.931,2.53,2.4,-0.13,48.0,-0.127,0,6.5-7h,06:47
314,1,Carnegie Mellon University,Spring 2018,lac2,Male,0.0,0.0,381.2,6.35,34.7,446.8,0.1745,0.966,2.79,3.37,0.58,49.0,0.112,0,6-6.5h,06:27
315,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,430.1,7.17,19.4,471.7,0.4159,0.828,4.0,3.61,-0.39,47.0,-0.366,0,7-7.5h,06:52
321,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,357.7,5.96,35.4,431.5,0.1069,0.862,4.0,3.44,-0.56,54.0,1.305,1,5.5-6h,06:12
322,1,Carnegie Mellon University,Spring 2018,lac2,Male,1.0,1.0,447.4,7.46,23.4,267.8,0.04,1.0,4.0,3.81,-0.19,48.0,-0.127,0,7-7.5h,03:28
333,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,402.1,6.7,52.9,444.3,0.0451,0.931,3.79,4.0,0.21,46.0,-0.604,0,6.5-7h,06:24
334,1,Carnegie Mellon University,Spring 2018,lac2,,0.0,0.0,315.6,5.26,18.5,436.2,0.1719,1.0,3.2,3.63,0.43,55.0,1.543,1,<5.5h,06:16
337,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,367.8,6.13,10.6,425.3,0.1882,1.0,3.57,3.81,0.24,51.0,0.589,0,6-6.5h,06:05
338,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,366.4,6.11,35.6,406.2,0.6453,0.931,3.7,3.57,-0.13,50.0,0.35,0,6-6.5h,05:46
342,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,455.6,7.59,23.5,434.1,0.1099,0.897,4.0,4.0,0.0,51.0,0.589,0,7.5h+,06:14
343,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,330.9,5.51,40.3,551.2,0.7578,0.655,2.92,3.12,0.2,50.0,0.35,1,5.5-6h,08:11
350,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,406.7,6.78,11.0,391.4,0.3475,0.897,3.74,3.81,0.07,52.0,0.827,0,6.5-7h,05:31
360,1,Carnegie Mellon University,Spring 2018,lac2,Male,0.0,0.0,350.7,5.84,32.0,349.4,1.24,0.793,3.29,3.39,0.1,49.0,0.112,1,5.5-6h,04:49
361,1,Carnegie Mellon University,Spring 2018,lac2,Male,0.0,0.0,357.7,5.96,30.9,451.5,0.2978,0.759,3.59,3.38,-0.21,49.0,0.112,1,5.5-6h,06:32
376,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,455.4,7.59,26.9,308.5,0.0242,0.966,3.48,2.98,-0.5,48.0,-0.127,0,7.5h+,04:08
378,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,299.1,4.98,28.3,415.0,0.5407,0.724,4.0,4.0,0.0,51.0,0.589,1,<5.5h,05:55
379,1,Carnegie Mellon University,Spring 2018,lac2,Female,0.0,0.0,343.1,5.72,24.5,493.5,0.1737,0.897,3.07,4.0,0.93,48.0,-0.127,1,5.5-6h,07:14
