ma_giao_dich,gia_tri_giao_dich,so_san_pham,kenh_ban,diem_tin_cay,ma_chi_nhanh
GD-2-000,2350000,1,Website,,CN-00
GD-2-001,2465000,2,Ứng dụng,501,CN-01
GD-2-002,2580000,3,Website,502,CN-02
GD-2-003,2695000,4,Ứng dụng,503,CN-03
GD-2-004,2810000,5,Website,504,CN-04
GD-2-005,2925000,6,Ứng dụng,505,CN-05
GD-2-006,3040000,7,Website,506,CN-06
GD-2-007,3155000,1,Ứng dụng,507,CN-07
GD-2-008,3270000,2,Website,,CN-00
GD-2-009,3385000,3,Ứng dụng,509,CN-01
GD-2-010,3500000,4,Website,510,CN-02
GD-2-011,3615000,5,Ứng dụng,511,CN-03
GD-2-012,3730000,6,Website,512,CN-04
GD-2-013,3845000,7,Ứng dụng,513,CN-05
GD-2-014,3960000,1,Website,514,CN-06
GD-2-015,4075000,2,Ứng dụng,515,CN-07
GD-2-016,2350000,3,Website,,CN-00
GD-2-017,2465000,4,Ứng dụng,517,CN-01
GD-2-018,2580000,5,Website,518,CN-02
GD-2-019,2695000,6,Ứng dụng,519,CN-03
GD-2-020,2810000,7,Website,520,CN-04
GD-2-021,2925000,1,Ứng dụng,521,CN-05
GD-2-022,3040000,2,Website,522,CN-06
GD-2-023,3155000,3,Ứng dụng,523,CN-07
GD-2-024,3270000,4,Website,,CN-00
GD-2-025,3385000,5,Ứng dụng,525,CN-01
GD-2-026,3500000,6,Website,526,CN-02
GD-2-027,3615000,7,Ứng dụng,527,CN-03
GD-2-028,3730000,1,Website,528,CN-04
GD-2-029,3845000,2,Ứng dụng,529,CN-05
GD-2-030,3960000,3,Website,530,CN-06
GD-2-031,4075000,4,Ứng dụng,531,CN-07
GD-2-032,2350000,5,Website,,CN-00
GD-2-033,2465000,6,Ứng dụng,533,CN-01
GD-2-034,2580000,7,Website,534,CN-02
GD-2-035,2695000,1,Ứng dụng,535,CN-03
GD-2-036,2810000,2,Website,536,CN-04
GD-2-037,2925000,3,Ứng dụng,537,CN-05
GD-2-038,3040000,4,Website,538,CN-06
GD-2-039,3155000,5,Ứng dụng,539,CN-07
GD-2-040,3270000,6,Website,,CN-00
GD-2-041,3385000,7,Ứng dụng,541,CN-01
GD-2-042,3500000,1,Website,542,CN-02
GD-2-043,3615000,2,Ứng dụng,543,CN-03
GD-2-044,3730000,3,Website,544,CN-04
GD-2-045,3845000,4,Ứng dụng,545,CN-05
GD-2-046,3960000,5,Website,546,CN-06
GD-2-047,4075000,6,Ứng dụng,547,CN-07
GD-2-048,2350000,7,Website,,CN-00
GD-2-049,2465000,1,Ứng dụng,549,CN-01
GD-2-050,2580000,2,Website,550,CN-02
GD-2-051,2695000,3,Ứng dụng,551,CN-03
GD-2-052,2810000,4,Website,552,CN-04
GD-2-053,2925000,5,Ứng dụng,553,CN-05
GD-2-054,3040000,6,Website,554,CN-06
GD-2-055,3155000,7,Ứng dụng,555,CN-07
GD-2-056,3270000,1,Website,,CN-00
GD-2-057,3385000,2,Ứng dụng,557,CN-01
GD-2-058,3500000,3,Website,558,CN-02
GD-2-059,3615000,4,Ứng dụng,559,CN-03
GD-2-060,3730000,5,Website,560,CN-04
GD-2-061,3845000,6,Ứng dụng,561,CN-05
GD-2-062,3960000,7,Website,562,CN-06
GD-2-063,4075000,1,Ứng dụng,563,CN-07
GD-2-064,2350000,2,Website,,CN-00
GD-2-065,2465000,3,Ứng dụng,565,CN-01
GD-2-066,2580000,4,Website,566,CN-02
GD-2-067,2695000,5,Ứng dụng,567,CN-03
GD-2-068,2810000,6,Website,568,CN-04
GD-2-069,2925000,7,Ứng dụng,569,CN-05
GD-2-070,3040000,1,Website,500,CN-06
GD-2-071,3155000,2,Ứng dụng,501,CN-07
GD-2-072,3270000,3,Website,,CN-00
GD-2-073,3385000,4,Ứng dụng,503,CN-01
GD-2-074,3500000,5,Website,504,CN-02
GD-2-075,3615000,6,Ứng dụng,505,CN-03
GD-2-076,3730000,7,Website,506,CN-04
GD-2-077,3845000,1,Ứng dụng,507,CN-05
GD-2-078,3960000,2,Website,508,CN-06
GD-2-079,4075000,3,Ứng dụng,509,CN-07
GD-2-080,2350000,4,Website,,CN-00
GD-2-081,2465000,5,Ứng dụng,511,CN-01
GD-2-082,2580000,6,Website,512,CN-02
GD-2-083,2695000,7,Ứng dụng,513,CN-03
GD-2-084,2810000,1,Website,514,CN-04
GD-2-085,2925000,2,Ứng dụng,515,CN-05
GD-2-086,3040000,3,Website,516,CN-06
GD-2-087,3155000,4,Ứng dụng,517,CN-07
GD-2-088,3270000,5,Website,,CN-00
GD-2-089,3385000,6,Ứng dụng,519,CN-01
GD-2-090,3500000,7,Website,520,CN-02
GD-2-091,3615000,1,Ứng dụng,521,CN-03
GD-2-092,3730000,2,Website,522,CN-04
GD-2-093,3845000,3,Ứng dụng,523,CN-05
GD-2-094,3960000,4,Website,524,CN-06
GD-2-095,4075000,5,Ứng dụng,525,CN-07
GD-2-096,2350000,6,Website,,CN-00
GD-2-097,2465000,7,Ứng dụng,527,CN-01
GD-2-098,2580000,1,Website,528,CN-02
GD-2-099,2695000,2,Ứng dụng,529,CN-03
